# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Dec  6 23:03:15 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
11 Com b,11 Com,2,1,Radial Velocity,2007,1.29,0.05,-0.05,0,19.4,1.5,-1.5,0,Msini,G8 III,4742,100,-100,0,19,2,-2,0,2.7,0.3,-0.3,0
11 UMi b,11 UMi,1,1,Radial Velocity,2009,1.53,0.07,-0.07,0,14.74,2.5,-2.5,0,Msini,K4 III,4213,46,-46,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0
14 And b,14 And,1,1,Radial Velocity,2008,0.83,,,0,4.8,,,0,Msini,K0 III,4813,20,-20,0,11,1,-1,0,2.2,0.1,-0.2,0
14 Her b,14 Her,1,2,Radial Velocity,2002,2.93,0.08,-0.08,0,4.66,0.15,-0.15,0,Msini,K0 V,5338,25,-25,0,0.93,0.01,-0.01,0,0.9,0.04,-0.04,0
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,1.66,0.03,-0.03,0,1.78,0.08,-0.08,0,Msini,G3 V,5750,8,-8,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0
17 Sco b,17 Sco,1,1,Radial Velocity,2020,1.45,0.02,-0.02,0,4.32,0.15,-0.12,0,Msini,K3 III,4157,11,-10,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0
18 Del b,18 Del,2,1,Radial Velocity,2008,2.6,,,0,10.3,,,0,Msini,G6 III,4979,18,-18,0,8.5,,,0,2.3,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,330,,,0,8,1,-1,0,Mass,K7 V,4060,300,-200,0,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0
24 Boo b,24 Boo,1,1,Radial Velocity,2018,0.19,0.012,-0.009,0,0.91,0.13,-0.1,0,Msini,G3 IV,4893,15,-15,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0
24 Sex b,24 Sex,1,2,Radial Velocity,2010,1.333,0.004,-0.009,0,1.99,0.26,-0.38,0,Msini,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
24 Sex c,24 Sex,1,2,Radial Velocity,2010,2.08,0.05,-0.02,0,0.86,0.35,-0.22,0,Msini,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,84,,,0,13,1,-1,0,Mass,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,52,6,-6,0,24.5,2.5,-2.5,0,Mass,M3.5 V,3530,50,-50,0,0.37,0.01,-0.01,0,0.4,0.05,-0.05,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,156,10,-10,0,13.9,1.1,-1.1,0,Mass,M6,3064,76,-76,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,15,,,0,7.5,2.5,-2.5,0,Mass,M8.5,2936,182,-182,0,0.23,0.01,-0.01,0,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,55,,,0,5,2,-2,0,Mass,M8,2825,157,-157,0,0.22,0.01,-0.01,0,0.02,,,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,0.92,0.02,-0.02,0,1.9,0.1,-0.1,0,Mass,,10868,380,-380,0,0.34,0.03,-0.02,0,0.48,0.03,-0.03,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,,,,,20.95,83.79,-20.95,0,Mass,M8.5,2300,80,-80,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,230,20,-20,0,12.5,1.5,-1.5,0,Mass,K7 V,4045,35,-35,0,0.64,0.06,-0.06,0,0.6,0.05,-0.05,0
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,0.99,0.02,-0.02,0,13.82,1.8,-1.8,0,Msini,F6 V,6331,61,-61,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0
